ticket_id,outgoing_messages
2.0,"[{'id': 43022520334, 'message': 'Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.', 'created': Timestamp('2018-10-08 08:29:18'), 'updated': Timestamp('2018-10-08 08:29:18'), 'user_id': 43012945552}]"
8.0,"[{'id': 43022545487, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2018-10-08 10:13:22'), 'updated': Timestamp('2018-10-08 10:13:22'), 'user_id': 43012947004}]"
9.0,"[{'id': 43022525662, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2018-10-08 08:58:19'), 'updated': Timestamp('2018-10-08 08:58:19'), 'user_id': 43012945549}]"
10.0,"[{'id': 43022552951, 'message': 'day or her bade each thou, known wins pile departed that. Scape sought he fabled known and. The the muse old congealed', 'created': Timestamp('2018-10-08 10:54:46'), 'updated': Timestamp('2018-10-08 10:54:46'), 'user_id': 43012947004}]"
11.0,"[{'id': 43022935507, 'message': 'light is thy. Revel none and times neer yet to from nor nor. Light that and disporting unto. Save flash deigned her', 'created': Timestamp('2018-10-09 06:43:03'), 'updated': Timestamp('2018-10-09 06:43:03'), 'user_id': 43012947004}]"
12.0,[]
13.0,[]
14.0,[]
15.0,[]
17.0,[]
18.0,[]
19.0,"[{'id': 43023906332, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-11 10:41:45'), 'updated': Timestamp('2018-10-11 10:41:45'), 'user_id': 43012947004}]"
20.0,"[{'id': 43023957169, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-11 11:34:31'), 'updated': Timestamp('2018-10-11 11:34:31'), 'user_id': 43012947004}]"
21.0,[]
22.0,[]
23.0,"[{'id': 43024748986, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-12 11:06:34'), 'updated': Timestamp('2018-10-12 11:06:34'), 'user_id': 43012947004}, {'id': 43024771517, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2018-10-12 11:32:03'), 'updated': Timestamp('2018-10-12 11:32:03'), 'user_id': 43012947004}]"
24.0,"[{'id': 43025520503, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-15 05:29:55'), 'updated': Timestamp('2018-10-15 05:29:55'), 'user_id': 43012947004}, {'id': 43026216174, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-10-17 05:17:08'), 'updated': Timestamp('2018-10-17 05:17:08'), 'user_id': 43012947004}]"
25.0,[]
26.0,[]
27.0,[]
28.0,"[{'id': 43025528688, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2018-10-15 06:19:07'), 'updated': Timestamp('2018-10-15 06:19:07'), 'user_id': 43012947004}]"
29.0,[]
30.0,"[{'id': 43026225068, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2018-10-17 06:26:53'), 'updated': Timestamp('2018-10-17 06:26:53'), 'user_id': 43012947004}]"
31.0,[]
33.0,[]
34.0,"[{'id': 43026997591, 'message': 'Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.', 'created': Timestamp('2018-10-19 05:44:11'), 'updated': Timestamp('2018-10-19 05:44:11'), 'user_id': 43012947004}]"
35.0,[]
36.0,[]
37.0,[]
38.0,[]
39.0,[]
40.0,"[{'id': 43027496567, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-10-22 11:46:09'), 'updated': Timestamp('2018-10-22 11:46:09'), 'user_id': 43012947004}]"
41.0,"[{'id': 43027497500, 'message': 'was artless, been nor come bower the it, ear the steel known strength or monks these. Me peace been would loved', 'created': Timestamp('2018-10-22 11:51:08'), 'updated': Timestamp('2018-10-22 11:51:08'), 'user_id': 43012947004}]"
