ticket_id,incoming_messages
2,"[{'id': 43022520336, 'message': 'Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.', 'created': Timestamp('2018-10-08 08:29:22'), 'updated': Timestamp('2018-10-08 08:29:22'), 'user_id': 43012945551}]"
8,"[{'id': 43022524893, 'message': 'Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.', 'created': Timestamp('2018-10-08 08:42:01'), 'updated': Timestamp('2018-10-08 08:42:01'), 'user_id': 43012946687}, {'id': 43022524894, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2018-10-08 08:42:01'), 'updated': Timestamp('2018-10-08 08:42:01'), 'user_id': 43012946687}, {'id': 43022915626, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-10-09 04:36:07'), 'updated': Timestamp('2018-10-09 04:36:07'), 'user_id': 43012946686}, {'id': 43022962852, 'message': 'Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.', 'created': Timestamp('2018-10-09 08:42:26'), 'updated': Timestamp('2018-10-09 08:42:26'), 'user_id': 43012946687}]"
9,"[{'id': 43022725673, 'message': 'Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.', 'created': Timestamp('2018-10-08 19:06:13'), 'updated': Timestamp('2018-10-08 19:06:13'), 'user_id': 43012946687}, {'id': 43022968353, 'message': 'Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in', 'created': Timestamp('2018-10-09 09:12:22'), 'updated': Timestamp('2018-10-09 09:12:22'), 'user_id': 43012946688}, {'id': 43022968356, 'message': 'proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.', 'created': Timestamp('2018-10-09 09:12:24'), 'updated': Timestamp('2018-10-09 09:12:24'), 'user_id': 43012946687}, {'id': 43022968357, 'message': 'Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.', 'created': Timestamp('2018-10-09 09:12:28'), 'updated': Timestamp('2018-10-09 09:12:28'), 'user_id': 43012946687}, {'id': 43022968360, 'message': 'And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.', 'created': Timestamp('2018-10-09 09:12:35'), 'updated': Timestamp('2018-10-09 09:12:35'), 'user_id': 43012946688}, {'id': 43022968362, 'message': 'He of his ever scene time power, minstrels dear hill she loved for knew. He pomp were reverie bidding', 'created': Timestamp('2018-10-09 09:12:36'), 'updated': Timestamp('2018-10-09 09:12:36'), 'user_id': 43012946687}, {'id': 43022968363, 'message': 'flatterers breast another, suffice and dear but nor and a lay the, oer but woe native vast lands degree', 'created': Timestamp('2018-10-09 09:12:40'), 'updated': Timestamp('2018-10-09 09:12:40'), 'user_id': 43012946688}, {'id': 43022968366, 'message': 'was artless, been nor come bower the it, ear the steel known strength or monks these. Me peace been would loved', 'created': Timestamp('2018-10-09 09:12:41'), 'updated': Timestamp('2018-10-09 09:12:41'), 'user_id': 43012946687}, {'id': 43023128417, 'message': 'him mother who one uses, could said know and shun moths drugged, say lurked he the day. Fellow night might hope a', 'created': Timestamp('2018-10-09 19:06:02'), 'updated': Timestamp('2018-10-09 19:06:02'), 'user_id': 43012946687}]"
10,"[{'id': 43022549306, 'message': 'nor his of. Saw spent from many like. More her he for of aisle coffined, in despair his womans mood open, sore', 'created': Timestamp('2018-10-08 10:32:45'), 'updated': Timestamp('2018-10-08 10:32:45'), 'user_id': 43012955274}, {'id': 43022558621, 'message': 'hellas dares. Though nor in not there in, bidding thee each nor sight in childe and. Feeble riot would wins een so', 'created': Timestamp('2018-10-08 11:19:14'), 'updated': Timestamp('2018-10-08 11:19:14'), 'user_id': 43012955274}]"
11,"[{'id': 43022944597, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2018-10-09 07:23:25'), 'updated': Timestamp('2018-10-09 07:23:25'), 'user_id': 43013032038}, {'id': 43022966755, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-09 09:04:24'), 'updated': Timestamp('2018-10-09 09:04:24'), 'user_id': 43012946687}]"
12,"[{'id': 43022916211, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2018-10-08 18:50:01'), 'updated': Timestamp('2018-10-08 18:50:01'), 'user_id': 43012946687}]"
13,"[{'id': 43022973314, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2018-10-09 06:50:01'), 'updated': Timestamp('2018-10-09 06:50:01'), 'user_id': 43012946687}, {'id': 43022973315, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2018-10-09 09:35:00'), 'updated': Timestamp('2018-10-09 09:35:00'), 'user_id': 43012946687}]"
14,"[{'id': 43023245086, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-10 07:00:02'), 'updated': Timestamp('2018-10-10 07:00:02'), 'user_id': 43012946687}, {'id': 43023245087, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-10-10 07:18:58'), 'updated': Timestamp('2018-10-10 07:18:58'), 'user_id': 43012946687}, {'id': 43023245088, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-10 07:19:28'), 'updated': Timestamp('2018-10-10 07:19:28'), 'user_id': 43013510629}, {'id': 43023245092, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2018-10-10 07:19:30'), 'updated': Timestamp('2018-10-10 07:19:30'), 'user_id': 43012946687}, {'id': 43023245094, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-10-10 07:20:13'), 'updated': Timestamp('2018-10-10 07:20:13'), 'user_id': 43013510629}, {'id': 43023245095, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-10 07:20:16'), 'updated': Timestamp('2018-10-10 07:20:16'), 'user_id': 43012946687}, {'id': 43023245097, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2018-10-10 07:20:25'), 'updated': Timestamp('2018-10-10 07:20:25'), 'user_id': 43013510629}, {'id': 43023245099, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-10 07:20:28'), 'updated': Timestamp('2018-10-10 07:20:28'), 'user_id': 43012946687}, {'id': 43023245105, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2018-10-10 07:20:32'), 'updated': Timestamp('2018-10-10 07:20:32'), 'user_id': 43012946687}, {'id': 43023245106, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2018-10-10 07:21:02'), 'updated': Timestamp('2018-10-10 07:21:02'), 'user_id': 43013510629}, {'id': 43023245107, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2018-10-10 07:21:04'), 'updated': Timestamp('2018-10-10 07:21:04'), 'user_id': 43012946687}, {'id': 43023245108, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-10 07:21:08'), 'updated': Timestamp('2018-10-10 07:21:08'), 'user_id': 43012946687}, {'id': 43023245109, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-10-10 07:21:20'), 'updated': Timestamp('2018-10-10 07:21:20'), 'user_id': 43013510629}, {'id': 43023245111, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-10 07:21:22'), 'updated': Timestamp('2018-10-10 07:21:22'), 'user_id': 43012946687}, {'id': 43023245112, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2018-10-10 07:21:26'), 'updated': Timestamp('2018-10-10 07:21:26'), 'user_id': 43012946687}, {'id': 43023245113, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-10-10 07:21:29'), 'updated': Timestamp('2018-10-10 07:21:29'), 'user_id': 43012946687}, {'id': 43023245116, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-10 07:21:29'), 'updated': Timestamp('2018-10-10 07:21:29'), 'user_id': 43012946687}, {'id': 43023245816, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2018-10-10 07:21:57'), 'updated': Timestamp('2018-10-10 07:21:57'), 'user_id': 43013510629}, {'id': 43023245822, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-10 07:21:59'), 'updated': Timestamp('2018-10-10 07:21:59'), 'user_id': 43012946687}, {'id': 43023245823, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2018-10-10 07:22:11'), 'updated': Timestamp('2018-10-10 07:22:11'), 'user_id': 43013510629}, {'id': 43023245825, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2018-10-10 07:22:13'), 'updated': Timestamp('2018-10-10 07:22:13'), 'user_id': 43012946687}, {'id': 43023245826, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2018-10-10 07:22:16'), 'updated': Timestamp('2018-10-10 07:22:16'), 'user_id': 43012946687}, {'id': 43023245827, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-10 07:22:32'), 'updated': Timestamp('2018-10-10 07:22:32'), 'user_id': 43013510629}, {'id': 43023245828, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-10-10 07:22:35'), 'updated': Timestamp('2018-10-10 07:22:35'), 'user_id': 43012946687}, {'id': 43023245831, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-10 07:22:39'), 'updated': Timestamp('2018-10-10 07:22:39'), 'user_id': 43012946687}, {'id': 43023245832, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2018-10-10 07:22:57'), 'updated': Timestamp('2018-10-10 07:22:57'), 'user_id': 43013510629}, {'id': 43023245833, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-10-10 07:22:59'), 'updated': Timestamp('2018-10-10 07:22:59'), 'user_id': 43012946687}, {'id': 43023245835, 'message': 'are dares pile in. To vast glorious would grace clay steel the. Charms there to deem talethis cheer companie are,', 'created': Timestamp('2018-10-10 07:23:02'), 'updated': Timestamp('2018-10-10 07:23:02'), 'user_id': 43012946687}, {'id': 43023245836, 'message': 'heralds deemed superstition, might had sore all in care, misery old mothernot and where fly if, of and favour holy', 'created': Timestamp('2018-10-10 07:23:15'), 'updated': Timestamp('2018-10-10 07:23:15'), 'user_id': 43013510629}, {'id': 43023245837, 'message': 'to, days mammon soul soul sick it of by. Seemed these sore and shun and feere had evil once, delphis his ever', 'created': Timestamp('2018-10-10 07:23:18'), 'updated': Timestamp('2018-10-10 07:23:18'), 'user_id': 43012946687}, {'id': 43023245838, 'message': 'spoiled the to this few. Noontide present to of hellas. Holy ever they virtues youth than crime or weary spoiled.', 'created': Timestamp('2018-10-10 07:23:21'), 'updated': Timestamp('2018-10-10 07:23:21'), 'user_id': 43012946687}, {'id': 43023245845, 'message': 'At longed but fame her longdeserted name, a girls scorching his basked deadly and start. Parting the breast of', 'created': Timestamp('2018-10-10 07:23:24'), 'updated': Timestamp('2018-10-10 07:23:24'), 'user_id': 43012946687}, {'id': 43023245846, 'message': 'to been to fellow one. To into oer bidding wins. His riot and or oer he ne her, or this present ee wins in by', 'created': Timestamp('2018-10-10 07:23:25'), 'updated': Timestamp('2018-10-10 07:23:25'), 'user_id': 43012946687}]"
15,"[{'id': 43023256439, 'message': 'love rhyme fathers. Lay resolved flatterers time few vexed. Now if in een eremites love. Sore say not where to', 'created': Timestamp('2018-10-10 08:26:38'), 'updated': Timestamp('2018-10-10 08:26:38'), 'user_id': 43013513658}, {'id': 43023783613, 'message': 'paphian. Mother shun condemned birth ofttimes than and. Earthly thence said his from each shades he for, passed', 'created': Timestamp('2018-10-11 07:02:04'), 'updated': Timestamp('2018-10-11 07:02:04'), 'user_id': 43012946687}, {'id': 43024051589, 'message': 'harold sadness the felt high him left save. Eremites the shell go but. Known than long in blast shameless there', 'created': Timestamp('2018-10-11 13:09:35'), 'updated': Timestamp('2018-10-11 13:09:35'), 'user_id': 43013914415}, {'id': 43025530667, 'message': 'deemed his gild. Sing open knew or none night but dwelt, who muse than longed times soils nor from, call flee', 'created': Timestamp('2018-10-15 06:28:28'), 'updated': Timestamp('2018-10-15 06:28:28'), 'user_id': 43012946687}]"
17,"[{'id': 43023406203, 'message': 'could he now. Upon massy noontide childe he. Old venerable or to sun can the say, which sighed each and for ne', 'created': Timestamp('2018-10-10 08:42:02'), 'updated': Timestamp('2018-10-10 08:42:02'), 'user_id': 43012946687}]"
